country,ladder_score
czechia,6.845
taiwan province of china,6.535
kosovo,6.368
nicaragua,6.259
honduras,6.023
mongolia,5.84
tajikistan,5.33
hong kong s.a.r. of china,5.308
congo (brazzaville),5.267
laos,5.111
guinea,5.072
ivory coast,5.053
gabon,5.035
mozambique,4.954
state of palestine,4.908
senegal,4.855
mauritania,4.724
burkina faso,4.638
namibia,4.631
turkiye,4.614
niger,4.501
chad,4.397
benin,4.374
myanmar,4.372
gambia,4.279
mali,4.198
togo,4.137
ethiopia,4.091
liberia,4.042
zambia,3.982
comoros,3.545
malawi,3.495
congo (kinshasa),3.207
sierra leone,3.138
afghanistan,1.859
bahamas,
barbados,
hong kong (china),
puerto rico,
trinidad and tobago,
qatar,
cuba,
czech republic,
taiwan,
oman,
kuwait,
palestine,
turkey,
fiji,
azerbaijan,
kosovo (disputed territory),
belarus,
syria,
libya,
